Date, Open, High, Low, Close
10/23/24, 151.08, 153.19, 151.02, 152.76
10/22/24, 150.82, 151.20, 150.50, 151.09
10/21/24, 149.56, 150.89, 149.09, 150.84
10/18/24, 150.21, 150.28, 149.37, 149.53
10/17/24, 149.64, 150.31, 149.26, 150.21
10/16/24, 149.21, 149.81, 148.89, 149.64
10/15/24, 149.82, 149.84, 148.85, 149.22
10/14/24, 149.15, 149.99, 149.00, 149.76
10/11/24, 148.57, 149.29, 148.41, 149.14
10/10/24, 149.31, 149.59, 148.38, 148.57
10/09/24, 148.20, 149.37, 148.01, 149.31
10/08/24, 148.16, 148.38, 147.35, 148.20
10/07/24, 148.72, 149.13, 147.86, 148.18
10/04/24, 146.94, 149.00, 145.93, 148.72
10/03/24, 146.41, 147.24, 146.24, 146.95
10/02/24, 143.57, 146.51, 143.43, 146.46
10/01/24, 143.64, 144.53, 142.98, 143.56
09/30/24, 142.16, 143.94, 141.66, 143.63
09/27/24, 144.82, 146.50, 142.07, 142.14
09/26/24, 144.76, 145.20, 144.11, 144.81
09/25/24, 143.24, 144.84, 142.91, 144.75
09/24/24, 143.61, 144.68, 143.12, 143.23
09/23/24, 143.81, 144.45, 143.16, 143.61
09/20/24, 142.63, 144.50, 141.74, 143.92
09/19/24, 142.29, 143.94, 141.90, 142.63
09/18/24, 142.41, 142.70, 140.45, 142.28
09/17/24, 140.61, 142.47, 140.33, 142.42
09/16/24, 140.84, 140.93, 139.58, 140.61
09/13/24, 141.82, 141.87, 140.29, 140.83
09/12/24, 142.36, 143.04, 141.74, 141.82
09/11/24, 142.45, 142.55, 140.71, 142.37
09/10/24, 143.18, 143.71, 142.20, 142.46
09/09/24, 142.32, 143.80, 141.96, 143.17
09/06/24, 143.44, 144.57, 141.77, 142.31
09/05/24, 143.74, 144.22, 142.85, 143.45
09/04/24, 145.48, 145.60, 143.71, 143.74
09/03/24, 146.92, 147.26, 145.09, 145.48
09/02/24, 146.17, 147.17, 145.78, 146.92
08/30/24, 144.99, 146.25, 144.66, 146.18
08/29/24, 144.58, 145.56, 144.24, 144.99
08/28/24, 143.99, 145.04, 143.69, 144.59
08/27/24, 144.56, 145.18, 143.92, 143.95
08/26/24, 144.37, 144.66, 143.44, 144.52
08/23/24, 146.29, 146.49, 144.05, 144.37
08/22/24, 145.27, 146.53, 144.84, 146.30
08/21/24, 145.27, 146.66, 144.46, 145.28
08/20/24, 146.61, 147.34, 145.20, 145.27
08/19/24, 147.65, 148.05, 145.19, 146.60
08/16/24, 149.29, 149.35, 147.57, 147.61
08/15/24, 147.34, 149.38, 147.06, 149.30
08/14/24, 146.83, 147.58, 146.07, 147.34
08/13/24, 147.20, 147.94, 146.60, 146.83
08/12/24, 146.67, 148.23, 146.47, 147.20
08/09/24, 147.22, 147.76, 146.28, 146.62
08/08/24, 146.69, 147.55, 145.43, 147.23
08/07/24, 144.34, 147.89, 144.31, 146.69
08/06/24, 144.17, 146.35, 143.65, 144.33
08/05/24, 146.59, 146.67, 141.69, 144.18
08/02/24, 149.38, 149.77, 146.42, 146.55
08/01/24, 149.98, 150.89, 148.51, 149.37
07/31/24, 152.79, 153.86, 149.63, 149.99
07/30/24, 154.02, 155.22, 152.67, 152.78
07/29/24, 153.75, 154.35, 153.04, 154.03
07/26/24, 153.93, 154.74, 153.25, 153.75
07/25/24, 153.90, 154.32, 151.95, 153.94
07/24/24, 155.59, 155.99, 153.11, 153.89
07/23/24, 157.04, 157.10, 155.56, 155.59
07/22/24, 157.50, 157.61, 156.29, 157.04
07/19/24, 157.37, 157.83, 156.97, 157.46
07/18/24, 156.19, 157.40, 155.38, 157.36
07/17/24, 158.35, 158.61, 156.06, 156.20
07/16/24, 158.06, 158.87, 157.99, 158.35
07/15/24, 157.84, 158.42, 157.26, 158.06
07/12/24, 158.82, 159.45, 157.38, 157.84
07/11/24, 161.66, 161.76, 157.46, 158.84
07/10/24, 161.32, 161.82, 161.26, 161.70
07/09/24, 160.82, 161.50, 160.73, 161.31
07/08/24, 160.75, 161.13, 160.26, 160.83
07/05/24, 161.27, 161.40, 160.34, 160.76
07/04/24, 161.69, 161.69, 160.95, 161.28
07/03/24, 161.45, 162.00, 160.78, 161.69
07/02/24, 161.45, 161.75, 161.27, 161.45
07/01/24, 160.88, 161.75, 160.63, 161.45
06/28/24, 160.78, 161.27, 160.26, 160.88
06/27/24, 160.80, 160.85, 160.28, 160.78
06/26/24, 159.70, 160.88, 159.61, 160.81
06/25/24, 159.60, 159.78, 159.20, 159.69
06/24/24, 159.68, 159.92, 158.79, 159.63
06/21/24, 158.93, 159.85, 158.67, 159.71
06/20/24, 158.09, 158.94, 157.92, 158.93
06/19/24, 157.87, 158.14, 157.61, 158.10
06/18/24, 157.74, 158.24, 157.52, 157.86
